edge_id,from_node_id,to_node_id,feeder_id,substation_id,edge_type,conductor_type,phase,length_miles,length_ft,impedance_r_ohm_per_mile,impedance_x_ohm_per_mile,impedance_z0_ohm_per_mile,rated_amps,nominal_voltage_kv,num_phases,is_overhead,installation_year,status
EDGE-022381,FUSE-XFMR-011004,XFMR-011004,FDR-0035,SUB-009,lateral_overhead,#2 ACSR,BC,0.119,628.3,0.9568,0.4714,0.6985,150,13.8,2,1,,closed
EDGE-022382,JCT-FDR-0035-003,FUSE-XFMR-011005,FDR-0035,SUB-009,lateral_underground,4/0 AL,ABC,0.023,121.2,0.2678,0.4019,0.3655,340,13.8,3,0,,closed
EDGE-022383,FUSE-XFMR-011005,XFMR-011005,FDR-0035,SUB-009,lateral_underground,4/0 AL,ABC,0.13,686.7,0.2996,0.4349,0.3655,340,13.8,3,0,,closed
EDGE-022384,JCT-FDR-0035-003,FUSE-XFMR-011006,FDR-0035,SUB-009,lateral_overhead,#2 ACSR,AB,0.026,134.6,0.8232,0.457,0.6985,150,13.8,2,1,,closed
EDGE-022385,FUSE-XFMR-011006,XFMR-011006,FDR-0035,SUB-009,lateral_overhead,#2 ACSR,AB,0.145,763.0,0.8933,0.4648,0.6985,150,13.8,2,1,,closed
EDGE-022386,JCT-FDR-0035-003,FUSE-XFMR-011007,FDR-0035,SUB-009,lateral_overhead,#2 ACSR,B,0.028,148.9,0.8142,0.4946,0.6985,150,13.8,1,1,,closed
EDGE-022387,FUSE-XFMR-011007,XFMR-011007,FDR-0035,SUB-009,lateral_overhead,#2 ACSR,B,0.16,843.7,0.853,0.499,0.6985,150,13.8,1,1,,closed
EDGE-022388,JCT-FDR-0035-003,FUSE-XFMR-011008,FDR-0035,SUB-009,lateral_overhead,#2 ACSR,C,0.031,163.2,0.8274,0.4882,0.6985,150,13.8,1,1,,closed
EDGE-022389,FUSE-XFMR-011008,XFMR-011008,FDR-0035,SUB-009,lateral_overhead,#2 ACSR,C,0.175,924.5,0.806,0.5073,0.6985,150,13.8,1,1,,closed
EDGE-022390,JCT-FDR-0035-003,FUSE-XFMR-011009,FDR-0035,SUB-009,lateral_overhead,#2 ACSR,AB,0.033,175.8,0.8681,0.4684,0.6985,150,13.8,2,1,,closed
EDGE-022391,FUSE-XFMR-011009,XFMR-011009,FDR-0035,SUB-009,lateral_overhead,#2 ACSR,AB,0.189,996.3,0.8784,0.4816,0.6985,150,13.8,2,1,,closed
EDGE-022392,JCT-FDR-0035-003,FUSE-XFMR-011010,FDR-0035,SUB-009,lateral_overhead,1/0 AL,A,0.036,190.9,0.5695,0.4505,0.5345,230,13.8,1,1,,closed
EDGE-022393,FUSE-XFMR-011010,XFMR-011010,FDR-0035,SUB-009,lateral_overhead,1/0 AL,A,0.205,1081.6,0.5388,0.4968,0.5345,230,13.8,1,1,,closed
EDGE-022394,JCT-FDR-0035-003,FUSE-XFMR-011011,FDR-0035,SUB-009,lateral_overhead,#2 ACSR,ABC,0.039,205.9,0.9624,0.5408,0.6985,150,13.8,3,1,,closed
EDGE-022395,FUSE-XFMR-011011,XFMR-011011,FDR-0035,SUB-009,lateral_overhead,#2 ACSR,ABC,0.221,1166.9,0.8521,0.4789,0.6985,150,13.8,3,1,,closed
EDGE-022396,JCT-FDR-0035-003,FUSE-XFMR-011012,FDR-0035,SUB-009,lateral_underground,1/0 AL,AB,0.041,218.6,0.5763,0.4953,0.5345,230,13.8,2,0,,closed
EDGE-022397,FUSE-XFMR-011012,XFMR-011012,FDR-0035,SUB-009,lateral_underground,1/0 AL,AB,0.235,1238.7,0.6339,0.4936,0.5345,230,13.8,2,0,,closed
EDGE-022398,JCT-FDR-0035-003,FUSE-XFMR-011013,FDR-0035,SUB-009,lateral_underground,4/0 AL,BC,0.044,230.5,0.3203,0.4549,0.3655,340,13.8,2,0,,closed
EDGE-022399,FUSE-XFMR-011013,XFMR-011013,FDR-0035,SUB-009,lateral_underground,4/0 AL,BC,0.247,1306.0,0.3195,0.427,0.3655,340,13.8,2,0,,closed
EDGE-022400,JCT-FDR-0035-003,FUSE-XFMR-011014,FDR-0035,SUB-009,lateral_underground,1/0 AL,C,0.046,244.7,0.575,0.5197,0.5345,230,13.8,1,0,,closed
EDGE-022401,FUSE-XFMR-011014,XFMR-011014,FDR-0035,SUB-009,lateral_underground,1/0 AL,C,0.263,1386.8,0.6442,0.5067,0.5345,230,13.8,1,0,,closed
EDGE-022402,JCT-FDR-0035-003,FUSE-XFMR-011015,FDR-0035,SUB-009,lateral_overhead,#4 CU,B,0.05,261.4,1.4414,0.5449,1.007,100,13.8,1,1,,closed
EDGE-022403,FUSE-XFMR-011015,XFMR-011015,FDR-0035,SUB-009,lateral_overhead,#4 CU,B,0.281,1481.0,1.3643,0.5429,1.007,100,13.8,1,1,,closed
EDGE-022404,JCT-FDR-0035-003,FUSE-XFMR-011016,FDR-0035,SUB-009,lateral_overhead,1/0 AL,ABC,0.051,270.9,0.6253,0.4379,0.5345,230,13.8,3,1,,closed
EDGE-022405,FUSE-XFMR-011016,XFMR-011016,FDR-0035,SUB-009,lateral_overhead,1/0 AL,ABC,0.291,1534.9,0.533,0.4583,0.5345,230,13.8,3,1,,closed
EDGE-022406,JCT-FDR-0035-003,FUSE-XFMR-011017,FDR-0035,SUB-009,lateral_overhead,#2 ACSR,A,0.054,286.7,0.9011,0.4519,0.6985,150,13.8,1,1,,closed
EDGE-022407,FUSE-XFMR-011017,XFMR-011017,FDR-0035,SUB-009,lateral_overhead,#2 ACSR,A,0.308,1624.7,0.9285,0.4962,0.6985,150,13.8,1,1,,closed
EDGE-022408,JCT-FDR-0035-003,FUSE-XFMR-011018,FDR-0035,SUB-009,lateral_overhead,1/0 AL,AB,0.057,301.8,0.5769,0.4546,0.5345,230,13.8,2,1,,closed
EDGE-022409,FUSE-XFMR-011018,XFMR-011018,FDR-0035,SUB-009,lateral_overhead,1/0 AL,AB,0.324,1709.9,0.5818,0.4686,0.5345,230,13.8,2,1,,closed
EDGE-022410,JCT-FDR-0035-003,FUSE-XFMR-011019,FDR-0035,SUB-009,lateral_overhead,#2 ACSR,AC,0.06,314.4,0.8662,0.464,0.6985,150,13.8,2,1,,closed
EDGE-022411,FUSE-XFMR-011019,XFMR-011019,FDR-0035,SUB-009,lateral_overhead,#2 ACSR,AC,0.337,1781.7,0.8316,0.4883,0.6985,150,13.8,2,1,,closed
EDGE-022412,JCT-FDR-0035-003,FUSE-XFMR-011020,FDR-0035,SUB-009,lateral_underground,4/0 AL,C,0.062,327.1,0.2936,0.4598,0.3655,340,13.8,1,0,,closed
EDGE-022413,FUSE-XFMR-011020,XFMR-011020,FDR-0035,SUB-009,lateral_underground,4/0 AL,C,0.351,1853.5,0.2682,0.4445,0.3655,340,13.8,1,0,,closed
EDGE-022414,JCT-FDR-0035-003,FUSE-XFMR-011021,FDR-0035,SUB-009,lateral_underground,1/0 AL,AC,0.065,342.1,0.6313,0.4567,0.5345,230,13.8,2,0,,closed
EDGE-022415,FUSE-XFMR-011021,XFMR-011021,FDR-0035,SUB-009,lateral_underground,1/0 AL,AC,0.367,1938.8,0.5981,0.4905,0.5345,230,13.8,2,0,,closed
EDGE-022416,JCT-FDR-0035-003,FUSE-XFMR-011022,FDR-0035,SUB-009,lateral_overhead,#2 ACSR,BC,0.067,354.0,0.8574,0.4903,0.6985,150,13.8,2,1,,closed
EDGE-022417,FUSE-XFMR-011022,XFMR-011022,FDR-0035,SUB-009,lateral_overhead,#2 ACSR,BC,0.38,2006.1,0.9135,0.4937,0.6985,150,13.8,2,1,,closed
EDGE-022418,JCT-FDR-0035-003,FUSE-XFMR-011023,FDR-0035,SUB-009,lateral_underground,#2 ACSR,A,0.07,367.5,0.8897,0.4822,0.6985,150,13.8,1,0,,closed
EDGE-022419,FUSE-XFMR-011023,XFMR-011023,FDR-0035,SUB-009,lateral_underground,#2 ACSR,A,0.394,2082.4,0.9029,0.5404,0.6985,150,13.8,1,0,,closed
EDGE-022420,JCT-FDR-0035-003,FUSE-XFMR-011024,FDR-0035,SUB-009,lateral_overhead,#4 CU,AC,0.073,384.1,1.5934,0.5155,1.007,100,13.8,2,1,,closed
EDGE-022421,FUSE-XFMR-011024,XFMR-011024,FDR-0035,SUB-009,lateral_overhead,#4 CU,AC,0.412,2176.7,1.4197,0.4871,1.007,100,13.8,2,1,,closed
EDGE-022422,JCT-FDR-0035-003,FUSE-XFMR-011025,FDR-0035,SUB-009,lateral_overhead,#4 CU,C,0.075,396.0,1.5011,0.5519,1.007,100,13.8,1,1,,closed
EDGE-022423,FUSE-XFMR-011025,XFMR-011025,FDR-0035,SUB-009,lateral_overhead,#4 CU,C,0.425,2244.0,1.4842,0.5614,1.007,100,13.8,1,1,,closed
EDGE-022424,JCT-FDR-0035-003,FUSE-XFMR-011026,FDR-0035,SUB-009,lateral_overhead,4/0 AL,B,0.077,407.9,0.3064,0.4208,0.3655,340,13.8,1,1,,closed
EDGE-022425,FUSE-XFMR-011026,XFMR-011026,FDR-0035,SUB-009,lateral_overhead,4/0 AL,B,0.438,2311.3,0.2908,0.4078,0.3655,340,13.8,1,1,,closed
EDGE-022426,JCT-FDR-0035-003,FUSE-XFMR-011027,FDR-0035,SUB-009,lateral_overhead,1/0 AL,BC,0.08,423.7,0.5733,0.4862,0.5345,230,13.8,2,1,,closed
EDGE-022427,FUSE-XFMR-011027,XFMR-011027,FDR-0035,SUB-009,lateral_overhead,1/0 AL,BC,0.455,2401.1,0.5561,0.4497,0.5345,230,13.8,2,1,,closed
EDGE-022428,JCT-FDR-0035-003,FUSE-XFMR-011028,FDR-0035,SUB-009,lateral_overhead,#2 ACSR,ABC,0.082,434.8,0.9019,0.4858,0.6985,150,13.8,3,1,,closed
EDGE-022429,FUSE-XFMR-011028,XFMR-011028,FDR-0035,SUB-009,lateral_overhead,#2 ACSR,ABC,0.467,2463.9,0.8708,0.4674,0.6985,150,13.8,3,1,,closed
EDGE-022430,JCT-FDR-0035-003,FUSE-XFMR-011029,FDR-0035,SUB-009,lateral_underground,#4 CU,BC,0.086,453.0,1.5269,0.5435,1.007,100,13.8,2,0,,closed
EDGE-022431,FUSE-XFMR-011029,XFMR-011029,FDR-0035,SUB-009,lateral_underground,#4 CU,BC,0.486,2567.1,1.5117,0.5122,1.007,100,13.8,2,0,,closed
EDGE-022432,JCT-FDR-0035-003,FUSE-XFMR-011030,FDR-0035,SUB-009,lateral_overhead,1/0 AL,ABC,0.087,461.7,0.6008,0.4517,0.5345,230,13.8,3,1,,closed
EDGE-022433,FUSE-XFMR-011030,XFMR-011030,FDR-0035,SUB-009,lateral_overhead,1/0 AL,ABC,0.496,2616.5,0.5348,0.4561,0.5345,230,13.8,3,1,,closed
EDGE-022434,JCT-FDR-0035-003,FUSE-XFMR-011031,FDR-0035,SUB-009,lateral_underground,#2 ACSR,BC,0.09,474.4,0.8568,0.4631,0.6985,150,13.8,2,0,,closed
EDGE-022435,FUSE-XFMR-011031,XFMR-011031,FDR-0035,SUB-009,lateral_underground,#2 ACSR,BC,0.509,2688.3,0.8817,0.5123,0.6985,150,13.8,2,0,,closed
EDGE-022436,JCT-FDR-0035-003,FUSE-XFMR-011032,FDR-0035,SUB-009,lateral_overhead,#2 ACSR,AB,0.093,489.5,0.9299,0.4736,0.6985,150,13.8,2,1,,closed
EDGE-022437,FUSE-XFMR-011032,XFMR-011032,FDR-0035,SUB-009,lateral_overhead,#2 ACSR,AB,0.525,2773.6,0.973,0.5429,0.6985,150,13.8,2,1,,closed
EDGE-022438,JCT-FDR-0035-003,FUSE-XFMR-011033,FDR-0035,SUB-009,lateral_overhead,1/0 AL,AB,0.095,502.1,0.6429,0.4841,0.5345,230,13.8,2,1,,closed
EDGE-022439,FUSE-XFMR-011033,XFMR-011033,FDR-0035,SUB-009,lateral_overhead,1/0 AL,AB,0.539,2845.4,0.6273,0.5223,0.5345,230,13.8,2,1,,closed
EDGE-022440,JCT-FDR-0035-003,FUSE-XFMR-011034,FDR-0035,SUB-009,lateral_underground,#2 ACSR,AC,0.098,518.0,0.9222,0.4642,0.6985,150,13.8,2,0,,closed
EDGE-022441,FUSE-XFMR-011034,XFMR-011034,FDR-0035,SUB-009,lateral_underground,#2 ACSR,AC,0.556,2935.2,0.8849,0.4602,0.6985,150,13.8,2,0,,closed
EDGE-022442,JCT-FDR-0035-003,FUSE-XFMR-011035,FDR-0035,SUB-009,lateral_underground,4/0 AL,AB,0.101,531.4,0.2789,0.4162,0.3655,340,13.8,2,0,,closed
EDGE-022443,FUSE-XFMR-011035,XFMR-011035,FDR-0035,SUB-009,lateral_underground,4/0 AL,AB,0.57,3011.4,0.3038,0.4326,0.3655,340,13.8,2,0,,closed
EDGE-022444,JCT-FDR-0035-003,FUSE-XFMR-011036,FDR-0035,SUB-009,lateral_overhead,1/0 AL,B,0.103,545.7,0.5726,0.4331,0.5345,230,13.8,1,1,,closed
EDGE-022445,FUSE-XFMR-011036,XFMR-011036,FDR-0035,SUB-009,lateral_overhead,1/0 AL,B,0.586,3092.2,0.5618,0.4339,0.5345,230,13.8,1,1,,closed
EDGE-022446,JCT-FDR-0035-003,FUSE-XFMR-011037,FDR-0035,SUB-009,lateral_overhead,4/0 AL,A,0.106,558.4,0.2975,0.4437,0.3655,340,13.8,1,1,,closed
EDGE-022447,FUSE-XFMR-011037,XFMR-011037,FDR-0035,SUB-009,lateral_overhead,4/0 AL,A,0.599,3164.0,0.269,0.4733,0.3655,340,13.8,1,1,,closed
EDGE-022448,JCT-FDR-0035-003,FUSE-XFMR-011038,FDR-0035,SUB-009,lateral_overhead,#4 CU,BC,0.108,570.2,1.6329,0.4794,1.007,100,13.8,2,1,,closed
EDGE-022449,FUSE-XFMR-011038,XFMR-011038,FDR-0035,SUB-009,lateral_overhead,#4 CU,BC,0.612,3231.4,1.5865,0.5101,1.007,100,13.8,2,1,,closed
EDGE-022450,JCT-FDR-0035-003,FUSE-XFMR-011039,FDR-0035,SUB-009,lateral_overhead,#2 ACSR,ABC,0.111,584.5,0.961,0.4781,0.6985,150,13.8,3,1,,closed
EDGE-022451,FUSE-XFMR-011039,XFMR-011039,FDR-0035,SUB-009,lateral_overhead,#2 ACSR,ABC,0.627,3312.1,0.8553,0.4577,0.6985,150,13.8,3,1,,closed
EDGE-022452,JCT-FDR-0035-003,FUSE-XFMR-011040,FDR-0035,SUB-009,lateral_underground,4/0 AL,AC,0.114,600.3,0.3208,0.4645,0.3655,340,13.8,2,0,,closed
EDGE-022453,FUSE-XFMR-011040,XFMR-011040,FDR-0035,SUB-009,lateral_underground,4/0 AL,AC,0.644,3401.9,0.3174,0.4,0.3655,340,13.8,2,0,,closed
EDGE-022454,JCT-FDR-0035-003,FUSE-XFMR-011041,FDR-0035,SUB-009,lateral_overhead,#4 CU,BC,0.116,613.0,1.4463,0.4821,1.007,100,13.8,2,1,,closed
EDGE-022455,FUSE-XFMR-011041,XFMR-011041,FDR-0035,SUB-009,lateral_overhead,#4 CU,BC,0.658,3473.7,1.4487,0.522,1.007,100,13.8,2,1,,closed
EDGE-022456,JCT-FDR-0035-003,FUSE-XFMR-011042,FDR-0035,SUB-009,lateral_overhead,#4 CU,B,0.119,628.1,1.6532,0.5477,1.007,100,13.8,1,1,,closed
EDGE-022457,FUSE-XFMR-011042,XFMR-011042,FDR-0035,SUB-009,lateral_overhead,#4 CU,B,0.674,3559.0,1.4105,0.494,1.007,100,13.8,1,1,,closed
EDGE-022458,JCT-FDR-0035-003,FUSE-XFMR-011043,FDR-0035,SUB-009,lateral_overhead,#4 CU,B,0.121,637.6,1.4304,0.5013,1.007,100,13.8,1,1,,closed
EDGE-022459,FUSE-XFMR-011043,XFMR-011043,FDR-0035,SUB-009,lateral_overhead,#4 CU,B,0.684,3612.8,1.5821,0.5406,1.007,100,13.8,1,1,,closed
EDGE-022460,JCT-FDR-0035-003,JCT-FDR-0035-004,FDR-0035,SUB-009,primary_underground,1/0 AL,ABC,0.82,4329.6,0.5523,0.4898,0.5694,230,13.8,3,0,,closed
EDGE-022461,JCT-FDR-0035-004,FUSE-XFMR-011044,FDR-0035,SUB-009,lateral_overhead,4/0 AL,C,0.001,6.3,0.2737,0.4723,0.3655,340,13.8,1,1,,closed
EDGE-022462,FUSE-XFMR-011044,XFMR-011044,FDR-0035,SUB-009,lateral_overhead,4/0 AL,C,0.007,35.9,0.3029,0.4662,0.3655,340,13.8,1,1,,closed
EDGE-022463,JCT-FDR-0035-004,FUSE-XFMR-011045,FDR-0035,SUB-009,lateral_overhead,4/0 AL,AB,0.003,14.3,0.3077,0.4293,0.3655,340,13.8,2,1,,closed
EDGE-022464,FUSE-XFMR-011045,XFMR-011045,FDR-0035,SUB-009,lateral_overhead,4/0 AL,AB,0.015,80.8,0.3051,0.4021,0.3655,340,13.8,2,1,,closed
EDGE-022465,JCT-FDR-0035-004,FUSE-XFMR-011046,FDR-0035,SUB-009,lateral_underground,1/0 AL,B,0.005,27.7,0.6213,0.5187,0.5345,230,13.8,1,0,,closed
EDGE-022466,FUSE-XFMR-011046,XFMR-011046,FDR-0035,SUB-009,lateral_underground,1/0 AL,B,0.03,157.1,0.5698,0.4438,0.5345,230,13.8,1,0,,closed
EDGE-022467,JCT-FDR-0035-004,FUSE-XFMR-011047,FDR-0035,SUB-009,lateral_overhead,#4 CU,B,0.007,38.0,1.6313,0.4895,1.007,100,13.8,1,1,,closed
EDGE-022468,FUSE-XFMR-011047,XFMR-011047,FDR-0035,SUB-009,lateral_overhead,#4 CU,B,0.041,215.4,1.3774,0.4646,1.007,100,13.8,1,1,,closed
EDGE-022469,JCT-FDR-0035-004,FUSE-XFMR-011048,FDR-0035,SUB-009,lateral_overhead,#4 CU,C,0.011,57.0,1.5845,0.5121,1.007,100,13.8,1,1,,closed
EDGE-022470,FUSE-XFMR-011048,XFMR-011048,FDR-0035,SUB-009,lateral_overhead,#4 CU,C,0.061,323.1,1.5564,0.4709,1.007,100,13.8,1,1,,closed
EDGE-022471,JCT-FDR-0035-004,FUSE-XFMR-011049,FDR-0035,SUB-009,lateral_overhead,4/0 AL,BC,0.013,69.7,0.3129,0.4144,0.3655,340,13.8,2,1,,closed
EDGE-022472,FUSE-XFMR-011049,XFMR-011049,FDR-0035,SUB-009,lateral_overhead,4/0 AL,BC,0.075,394.9,0.2982,0.4134,0.3655,340,13.8,2,1,,closed
EDGE-022473,JCT-FDR-0035-004,FUSE-XFMR-011050,FDR-0035,SUB-009,lateral_underground,4/0 AL,B,0.015,81.6,0.325,0.4144,0.3655,340,13.8,1,0,,closed
EDGE-022474,FUSE-XFMR-011050,XFMR-011050,FDR-0035,SUB-009,lateral_underground,4/0 AL,B,0.088,462.3,0.2802,0.4769,0.3655,340,13.8,1,0,,closed
EDGE-022475,JCT-FDR-0035-004,FUSE-XFMR-011051,FDR-0035,SUB-009,lateral_overhead,#4 CU,A,0.018,96.6,1.3555,0.551,1.007,100,13.8,1,1,,closed
EDGE-022476,FUSE-XFMR-011051,XFMR-011051,FDR-0035,SUB-009,lateral_overhead,#4 CU,A,0.104,547.5,1.5546,0.4874,1.007,100,13.8,1,1,,closed
EDGE-022477,JCT-FDR-0035-004,FUSE-XFMR-011052,FDR-0035,SUB-009,lateral_overhead,1/0 AL,BC,0.021,109.3,0.6135,0.5137,0.5345,230,13.8,2,1,,closed
EDGE-022478,FUSE-XFMR-011052,XFMR-011052,FDR-0035,SUB-009,lateral_overhead,1/0 AL,BC,0.117,619.3,0.5605,0.4766,0.5345,230,13.8,2,1,,closed
EDGE-022479,JCT-FDR-0035-004,FUSE-XFMR-011053,FDR-0035,SUB-009,lateral_overhead,#2 ACSR,AC,0.024,124.3,0.9199,0.5154,0.6985,150,13.8,2,1,,closed
EDGE-022480,FUSE-XFMR-011053,XFMR-011053,FDR-0035,SUB-009,lateral_overhead,#2 ACSR,AC,0.133,704.6,0.8567,0.5315,0.6985,150,13.8,2,1,,closed
EDGE-022481,JCT-FDR-0035-004,FUSE-XFMR-011054,FDR-0035,SUB-009,lateral_underground,#4 CU,AC,0.026,135.4,1.3678,0.4679,1.007,100,13.8,2,0,,closed
EDGE-022482,FUSE-XFMR-011054,XFMR-011054,FDR-0035,SUB-009,lateral_underground,#4 CU,AC,0.145,767.4,1.3997,0.537,1.007,100,13.8,2,0,,closed
EDGE-022483,JCT-FDR-0035-004,FUSE-XFMR-011055,FDR-0035,SUB-009,lateral_overhead,#2 ACSR,AB,0.028,148.1,0.9103,0.5343,0.6985,150,13.8,2,1,,closed
EDGE-022484,FUSE-XFMR-011055,XFMR-011055,FDR-0035,SUB-009,lateral_overhead,#2 ACSR,AB,0.159,839.3,0.8568,0.542,0.6985,150,13.8,2,1,,closed
EDGE-022485,JCT-FDR-0035-004,FUSE-XFMR-011056,FDR-0035,SUB-009,lateral_overhead,1/0 AL,BC,0.032,166.3,0.5823,0.4585,0.5345,230,13.8,2,1,,closed
EDGE-022486,FUSE-XFMR-011056,XFMR-011056,FDR-0035,SUB-009,lateral_overhead,1/0 AL,BC,0.178,942.5,0.5444,0.4963,0.5345,230,13.8,2,1,,closed
EDGE-022487,JCT-FDR-0035-004,FUSE-XFMR-011057,FDR-0035,SUB-009,lateral_overhead,#4 CU,ABC,0.033,175.8,1.5075,0.4972,1.007,100,13.8,3,1,,closed
EDGE-022488,FUSE-XFMR-011057,XFMR-011057,FDR-0035,SUB-009,lateral_overhead,#4 CU,ABC,0.189,996.3,1.3853,0.4928,1.007,100,13.8,3,1,,closed
EDGE-022489,JCT-FDR-0035-004,FUSE-XFMR-011058,FDR-0035,SUB-009,lateral_overhead,#4 CU,AB,0.036,190.9,1.412,0.5327,1.007,100,13.8,2,1,,closed
EDGE-022490,FUSE-XFMR-011058,XFMR-011058,FDR-0035,SUB-009,lateral_overhead,#4 CU,AB,0.205,1081.6,1.374,0.4753,1.007,100,13.8,2,1,,closed
EDGE-022491,JCT-FDR-0035-004,FUSE-XFMR-011059,FDR-0035,SUB-009,lateral_overhead,#2 ACSR,C,0.039,203.5,0.86,0.5288,0.6985,150,13.8,1,1,,closed
EDGE-022492,FUSE-XFMR-011059,XFMR-011059,FDR-0035,SUB-009,lateral_overhead,#2 ACSR,C,0.218,1153.4,0.8408,0.5346,0.6985,150,13.8,1,1,,closed
EDGE-022493,JCT-FDR-0035-004,FUSE-XFMR-011060,FDR-0035,SUB-009,lateral_overhead,4/0 AL,C,0.041,215.4,0.3037,0.445,0.3655,340,13.8,1,1,,closed
EDGE-022494,FUSE-XFMR-011060,XFMR-011060,FDR-0035,SUB-009,lateral_overhead,4/0 AL,C,0.231,1220.7,0.2753,0.4272,0.3655,340,13.8,1,1,,closed
EDGE-022495,JCT-FDR-0035-004,FUSE-XFMR-011061,FDR-0035,SUB-009,lateral_underground,#4 CU,AC,0.043,229.7,1.5846,0.5148,1.007,100,13.8,2,0,,closed
EDGE-022496,FUSE-XFMR-011061,XFMR-011061,FDR-0035,SUB-009,lateral_underground,#4 CU,AC,0.246,1301.5,1.6468,0.4761,1.007,100,13.8,2,0,,closed
EDGE-022497,JCT-FDR-0035-004,FUSE-XFMR-011062,FDR-0035,SUB-009,lateral_overhead,#2 ACSR,AB,0.047,247.1,0.9158,0.5289,0.6985,150,13.8,2,1,,closed
EDGE-022498,FUSE-XFMR-011062,XFMR-011062,FDR-0035,SUB-009,lateral_overhead,#2 ACSR,AB,0.265,1400.3,0.8279,0.5423,0.6985,150,13.8,2,1,,closed
EDGE-022499,JCT-FDR-0035-004,FUSE-XFMR-011063,FDR-0035,SUB-009,lateral_underground,#4 CU,BC,0.049,259.8,1.6228,0.5572,1.007,100,13.8,2,0,,closed
EDGE-022500,FUSE-XFMR-011063,XFMR-011063,FDR-0035,SUB-009,lateral_underground,#4 CU,BC,0.279,1472.1,1.5418,0.4959,1.007,100,13.8,2,0,,closed
EDGE-022501,JCT-FDR-0035-004,FUSE-XFMR-011064,FDR-0035,SUB-009,lateral_overhead,#2 ACSR,C,0.052,272.4,0.8955,0.4572,0.6985,150,13.8,1,1,,closed
EDGE-022502,FUSE-XFMR-011064,XFMR-011064,FDR-0035,SUB-009,lateral_overhead,#2 ACSR,C,0.292,1543.9,0.8106,0.5028,0.6985,150,13.8,1,1,,closed
EDGE-022503,JCT-FDR-0035-004,FUSE-XFMR-011065,FDR-0035,SUB-009,lateral_overhead,#4 CU,A,0.054,286.7,1.4289,0.4682,1.007,100,13.8,1,1,,closed
EDGE-022504,FUSE-XFMR-011065,XFMR-011065,FDR-0035,SUB-009,lateral_overhead,#4 CU,A,0.308,1624.7,1.479,0.5534,1.007,100,13.8,1,1,,closed
EDGE-022505,JCT-FDR-0035-004,FUSE-XFMR-011066,FDR-0035,SUB-009,lateral_overhead,#4 CU,C,0.057,301.0,1.6324,0.5422,1.007,100,13.8,1,1,,closed
EDGE-022506,FUSE-XFMR-011066,XFMR-011066,FDR-0035,SUB-009,lateral_overhead,#4 CU,C,0.323,1705.4,1.6506,0.5029,1.007,100,13.8,1,1,,closed
EDGE-022507,JCT-FDR-0035-004,FUSE-XFMR-011067,FDR-0035,SUB-009,lateral_overhead,1/0 AL,BC,0.06,314.4,0.5873,0.4942,0.5345,230,13.8,2,1,,closed
EDGE-022508,FUSE-XFMR-011067,XFMR-011067,FDR-0035,SUB-009,lateral_overhead,1/0 AL,BC,0.337,1781.7,0.5345,0.4531,0.5345,230,13.8,2,1,,closed
EDGE-022509,JCT-FDR-0035-004,FUSE-XFMR-011068,FDR-0035,SUB-009,lateral_underground,#4 CU,C,0.061,324.7,1.4571,0.5322,1.007,100,13.8,1,0,,closed
EDGE-022510,FUSE-XFMR-011068,XFMR-011068,FDR-0035,SUB-009,lateral_underground,#4 CU,C,0.348,1840.1,1.3922,0.512,1.007,100,13.8,1,0,,closed
EDGE-022511,JCT-FDR-0035-004,FUSE-XFMR-011069,FDR-0035,SUB-009,lateral_overhead,4/0 AL,B,0.065,340.6,0.2799,0.4737,0.3655,340,13.8,1,1,,closed
EDGE-022512,FUSE-XFMR-011069,XFMR-011069,FDR-0035,SUB-009,lateral_overhead,4/0 AL,B,0.365,1929.8,0.3078,0.4664,0.3655,340,13.8,1,1,,closed
EDGE-022513,JCT-FDR-0035-004,FUSE-XFMR-011070,FDR-0035,SUB-009,lateral_underground,#4 CU,AB,0.067,352.4,1.5475,0.5508,1.007,100,13.8,2,0,,closed
EDGE-022514,FUSE-XFMR-011070,XFMR-011070,FDR-0035,SUB-009,lateral_underground,#4 CU,AB,0.378,1997.2,1.4634,0.5551,1.007,100,13.8,2,0,,closed
EDGE-022515,JCT-FDR-0035-004,FUSE-XFMR-011071,FDR-0035,SUB-009,lateral_overhead,#2 ACSR,BC,0.07,369.1,0.9184,0.5361,0.6985,150,13.8,2,1,,closed
EDGE-022516,FUSE-XFMR-011071,XFMR-011071,FDR-0035,SUB-009,lateral_overhead,#2 ACSR,BC,0.396,2091.4,0.8983,0.5332,0.6985,150,13.8,2,1,,closed
EDGE-022517,JCT-FDR-0035-004,FUSE-XFMR-011072,FDR-0035,SUB-009,lateral_underground,#2 ACSR,AC,0.072,381.7,0.8486,0.461,0.6985,150,13.8,2,0,,closed
EDGE-022518,FUSE-XFMR-011072,XFMR-011072,FDR-0035,SUB-009,lateral_underground,#2 ACSR,AC,0.41,2163.2,0.904,0.4717,0.6985,150,13.8,2,0,,closed
EDGE-022519,JCT-FDR-0035-004,FUSE-XFMR-011073,FDR-0035,SUB-009,lateral_underground,#2 ACSR,AC,0.075,396.8,0.9163,0.5427,0.6985,150,13.8,2,0,,closed
EDGE-022520,FUSE-XFMR-011073,XFMR-011073,FDR-0035,SUB-009,lateral_underground,#2 ACSR,AC,0.426,2248.5,0.9147,0.5188,0.6985,150,13.8,2,0,,closed
