transformer_id,feeder_id,rated_kva,existing_der_kw,allocated_load_kw,thermal_hosting_capacity_kw,voltage_hosting_capacity_kw,limiting_factor,hosting_capacity_kw
XFMR-005067,FDR-0014,10.0,117.7,6.5,0.0,0.0,voltage,0.0
XFMR-005068,FDR-0014,167.0,304.5,99.1,0.0,0.0,voltage,0.0
XFMR-005069,FDR-0014,100.0,18.8,52.7,70.2,37.4,voltage,37.4
XFMR-005070,FDR-0014,50.0,0,28.2,37.2,21.4,voltage,21.4
XFMR-005071,FDR-0014,75.0,511.1,59.5,0.0,0.0,voltage,0.0
XFMR-005072,FDR-0015,75.0,390.4,53.8,0.0,0.0,voltage,0.0
XFMR-005073,FDR-0015,37.5,144.6,11.4,0.0,0.0,voltage,0.0
XFMR-005074,FDR-0015,500.0,0,390.9,311.2,275.6,voltage,275.6
XFMR-005075,FDR-0015,100.0,0,34.9,79.6,48.1,voltage,48.1
XFMR-005076,FDR-0015,167.0,0,111.3,102.6,106.3,thermal,102.6
XFMR-005077,FDR-0015,50.0,0,24.0,31.7,28.8,voltage,28.8
XFMR-005078,FDR-0015,50.0,0,26.4,39.0,21.6,voltage,21.6
XFMR-005079,FDR-0015,37.5,4.1,14.8,25.2,14.0,voltage,14.0
XFMR-005080,FDR-0015,25.0,5.1,8.9,13.7,7.4,voltage,7.4
XFMR-005081,FDR-0015,250.0,17.3,111.7,162.5,79.6,voltage,79.6
XFMR-005082,FDR-0015,250.0,45.1,145.4,169.4,82.6,voltage,82.6
XFMR-005083,FDR-0015,333.0,0,172.8,254.9,206.9,voltage,206.9
XFMR-005084,FDR-0015,333.0,0,151.0,246.0,150.4,voltage,150.4
XFMR-005085,FDR-0015,50.0,82.3,32.7,0.0,0.0,voltage,0.0
XFMR-005086,FDR-0015,15.0,3.4,11.4,7.9,5.0,voltage,5.0
XFMR-005087,FDR-0015,167.0,0,90.6,109.3,92.1,voltage,92.1
XFMR-005088,FDR-0015,250.0,0,129.3,195.5,127.2,voltage,127.2
XFMR-005089,FDR-0015,500.0,15.0,286.1,385.9,269.1,voltage,269.1
XFMR-005090,FDR-0015,100.0,4.4,63.8,54.9,31.9,voltage,31.9
XFMR-005091,FDR-0015,10.0,0,5.9,6.5,5.3,voltage,5.3
XFMR-005092,FDR-0015,500.0,0,183.9,297.5,244.6,voltage,244.6
XFMR-005093,FDR-0015,15.0,0,7.8,8.9,8.3,voltage,8.3
XFMR-005094,FDR-0015,500.0,0,384.1,298.3,380.3,thermal,298.3
XFMR-005095,FDR-0015,167.0,21.3,60.7,115.9,106.8,voltage,106.8
XFMR-005096,FDR-0015,25.0,20.9,18.3,4.8,0.0,voltage,0.0
XFMR-005097,FDR-0015,75.0,3.7,34.4,59.8,34.9,voltage,34.9
XFMR-005098,FDR-0015,75.0,3.7,50.4,41.5,42.1,thermal,41.5
XFMR-005099,FDR-0015,15.0,0,5.7,8.8,7.7,voltage,7.7
XFMR-005100,FDR-0015,333.0,0,193.4,198.0,170.1,voltage,170.1
XFMR-005101,FDR-0015,333.0,9.2,252.9,198.0,141.4,voltage,141.4
XFMR-005102,FDR-0015,37.5,0,19.5,28.7,16.5,voltage,16.5
XFMR-005103,FDR-0015,15.0,0,5.7,8.9,6.6,voltage,6.6
XFMR-005104,FDR-0015,15.0,0,5.4,13.2,7.3,voltage,7.3
XFMR-005105,FDR-0015,333.0,0,259.4,168.2,201.1,thermal,168.2
XFMR-005106,FDR-0015,37.5,13.9,24.1,20.8,9.7,voltage,9.7
XFMR-005107,FDR-0015,50.0,0,25.8,30.1,24.0,voltage,24.0
XFMR-005108,FDR-0015,75.0,4.5,43.9,49.8,33.4,voltage,33.4
XFMR-005109,FDR-0015,25.0,3.6,18.3,15.3,11.0,voltage,11.0
XFMR-005110,FDR-0015,167.0,0,52.3,103.3,64.8,voltage,64.8
XFMR-005111,FDR-0015,37.5,0,12.9,28.2,22.1,voltage,22.1
XFMR-005112,FDR-0015,10.0,5.5,3.6,5.5,0.5,voltage,0.5
XFMR-005113,FDR-0015,167.0,4.9,117.3,91.8,59.6,voltage,59.6
XFMR-005114,FDR-0015,25.0,0,14.5,15.0,9.3,voltage,9.3
XFMR-005115,FDR-0015,37.5,4.0,14.9,26.9,18.6,voltage,18.6
XFMR-005116,FDR-0015,250.0,0,107.5,148.4,125.2,voltage,125.2
XFMR-005117,FDR-0015,25.0,0,7.8,17.3,14.0,voltage,14.0
XFMR-005118,FDR-0015,10.0,0,7.3,6.0,4.6,voltage,4.6
XFMR-005119,FDR-0015,250.0,13.3,89.3,174.1,90.0,voltage,90.0
XFMR-005120,FDR-0015,15.0,0,11.8,8.6,6.5,voltage,6.5
XFMR-005121,FDR-0015,37.5,10.2,15.4,22.0,14.4,voltage,14.4
XFMR-005122,FDR-0015,167.0,4.0,56.0,111.1,60.0,voltage,60.0
XFMR-005123,FDR-0015,333.0,3.8,174.2,205.0,241.3,thermal,205.0
XFMR-005124,FDR-0015,333.0,91.2,132.5,212.5,134.8,voltage,134.8
XFMR-005125,FDR-0015,37.5,14.9,27.1,19.5,7.2,voltage,7.2
XFMR-005126,FDR-0015,500.0,197.3,272.9,217.2,97.0,voltage,97.0
XFMR-005127,FDR-0015,75.0,0,59.8,54.0,52.5,voltage,52.5
XFMR-005128,FDR-0015,10.0,579.9,4.8,0.0,0.0,voltage,0.0
XFMR-005129,FDR-0015,25.0,0,12.6,20.5,11.1,voltage,11.1
XFMR-005130,FDR-0015,250.0,0,179.1,166.7,119.3,voltage,119.3
XFMR-005131,FDR-0015,250.0,0,187.6,125.4,79.0,voltage,79.0
XFMR-005132,FDR-0015,167.0,17.2,122.7,82.8,66.6,voltage,66.6
XFMR-005133,FDR-0015,100.0,0,64.2,61.3,51.5,voltage,51.5
XFMR-005134,FDR-0015,25.0,0,14.6,19.7,11.0,voltage,11.0
XFMR-005135,FDR-0015,25.0,0,19.8,12.4,8.8,voltage,8.8
XFMR-005136,FDR-0015,75.0,0,29.5,58.7,52.7,voltage,52.7
XFMR-005137,FDR-0015,75.0,0,28.3,51.4,35.6,voltage,35.6
XFMR-005138,FDR-0015,75.0,32.8,48.1,26.7,7.8,voltage,7.8
XFMR-005139,FDR-0015,333.0,12.1,263.6,230.6,113.8,voltage,113.8
XFMR-005140,FDR-0015,333.0,21.4,164.1,245.0,177.0,voltage,177.0
XFMR-005141,FDR-0015,15.0,10.2,5.7,5.3,0.0,voltage,0.0
XFMR-005142,FDR-0015,250.0,16.4,123.6,148.9,78.5,voltage,78.5
XFMR-005143,FDR-0015,500.0,3.5,364.6,369.8,178.2,voltage,178.2
XFMR-005144,FDR-0015,333.0,0,139.4,209.3,105.1,voltage,105.1
XFMR-005145,FDR-0015,10.0,5.1,7.7,3.3,1.0,voltage,1.0
XFMR-005146,FDR-0015,75.0,13.0,29.1,56.6,19.9,voltage,19.9
XFMR-005147,FDR-0015,75.0,0,49.4,44.4,30.8,voltage,30.8
XFMR-005148,FDR-0015,167.0,0,51.6,147.1,90.0,voltage,90.0
XFMR-005149,FDR-0015,15.0,9.9,10.4,4.2,0.1,voltage,0.1
XFMR-005150,FDR-0015,50.0,234.2,22.1,0.0,0.0,voltage,0.0
XFMR-005151,FDR-0015,250.0,0,107.4,203.8,152.7,voltage,152.7
XFMR-005152,FDR-0015,100.0,10.1,62.8,53.9,41.0,voltage,41.0
XFMR-005153,FDR-0015,500.0,8.1,325.4,368.8,173.6,voltage,173.6
XFMR-005154,FDR-0015,100.0,3.5,39.6,63.0,37.4,voltage,37.4
XFMR-005155,FDR-0015,15.0,20.4,10.1,0.0,0.0,voltage,0.0
XFMR-005156,FDR-0015,50.0,21.4,33.7,19.3,7.1,voltage,7.1
XFMR-005157,FDR-0015,100.0,0,49.9,79.5,44.3,voltage,44.3
XFMR-005158,FDR-0015,15.0,11.6,7.2,4.9,0.4,voltage,0.4
XFMR-005159,FDR-0015,15.0,11.9,8.8,3.9,0.3,voltage,0.3
XFMR-005160,FDR-0015,25.0,0,12.8,18.7,13.8,voltage,13.8
XFMR-005161,FDR-0015,15.0,0,6.6,9.7,10.5,thermal,9.7
XFMR-005162,FDR-0015,333.0,7.4,103.9,235.2,123.3,voltage,123.3
XFMR-005163,FDR-0015,333.0,17.1,174.6,201.3,215.8,thermal,201.3
XFMR-005164,FDR-0015,500.0,21.2,338.7,329.5,340.1,thermal,329.5
XFMR-005165,FDR-0015,250.0,0,78.4,225.8,147.6,voltage,147.6
XFMR-005166,FDR-0015,500.0,3.3,399.5,299.9,222.8,voltage,222.8
XFMR-005167,FDR-0015,10.0,0,3.7,8.0,4.1,voltage,4.1
XFMR-005168,FDR-0015,500.0,8.5,334.5,365.3,239.1,voltage,239.1
XFMR-005169,FDR-0015,10.0,0,7.2,6.3,4.3,voltage,4.3
XFMR-005170,FDR-0015,37.5,8.7,20.4,24.7,11.0,voltage,11.0
XFMR-005171,FDR-0015,167.0,0,128.1,119.4,96.7,voltage,96.7
XFMR-005172,FDR-0015,10.0,7.1,6.2,3.6,0.0,voltage,0.0
XFMR-005173,FDR-0015,75.0,4.0,51.3,44.0,34.1,voltage,34.1
XFMR-005174,FDR-0015,37.5,14.5,29.9,15.6,7.2,voltage,7.2
XFMR-005175,FDR-0015,15.0,11.5,6.2,6.1,0.0,voltage,0.0
XFMR-005176,FDR-0015,75.0,8.9,53.2,42.0,26.0,voltage,26.0
XFMR-005177,FDR-0015,167.0,0,121.9,101.9,79.0,voltage,79.0
XFMR-005178,FDR-0015,75.0,0,26.5,60.7,47.4,voltage,47.4
XFMR-005179,FDR-0015,500.0,10.6,166.8,304.6,278.8,voltage,278.8
XFMR-005180,FDR-0015,15.0,4.7,11.4,6.0,5.0,voltage,5.0
XFMR-005181,FDR-0015,167.0,0,120.8,85.6,94.8,thermal,85.6
XFMR-005182,FDR-0015,100.0,11.0,44.7,54.5,57.4,thermal,54.5
XFMR-005183,FDR-0015,333.0,7.1,264.0,188.8,96.3,voltage,96.3
XFMR-005184,FDR-0015,50.0,0,25.0,30.8,27.7,voltage,27.7
XFMR-005185,FDR-0015,10.0,0,5.7,5.8,4.6,voltage,4.6
XFMR-005186,FDR-0015,250.0,13.6,135.7,195.9,129.4,voltage,129.4
XFMR-005187,FDR-0015,50.0,0,16.0,43.8,32.7,voltage,32.7
XFMR-005188,FDR-0015,167.0,9.5,79.6,114.6,63.3,voltage,63.3
XFMR-005189,FDR-0015,25.0,4.6,18.0,13.3,6.9,voltage,6.9
XFMR-005190,FDR-0015,25.0,10.1,11.4,12.9,3.8,voltage,3.8
XFMR-005191,FDR-0015,25.0,0,16.5,18.0,15.3,voltage,15.3
XFMR-005192,FDR-0015,167.0,9.4,97.6,98.9,92.0,voltage,92.0
XFMR-005193,FDR-0015,15.0,13.0,7.4,3.8,0.0,voltage,0.0
XFMR-005194,FDR-0015,37.5,0,28.3,18.9,19.9,thermal,18.9
XFMR-005195,FDR-0015,15.0,0,8.8,11.5,7.2,voltage,7.2
XFMR-005196,FDR-0015,75.0,0,41.0,50.5,33.1,voltage,33.1
XFMR-005197,FDR-0015,75.0,3.1,55.7,41.2,30.4,voltage,30.4
XFMR-005198,FDR-0015,100.0,410.0,60.2,0.0,0.0,voltage,0.0
XFMR-005199,FDR-0015,167.0,0,100.1,90.9,92.6,thermal,90.9
XFMR-005200,FDR-0015,500.0,0,253.3,343.6,303.2,voltage,303.2
XFMR-005201,FDR-0015,250.0,10.3,191.4,162.7,94.5,voltage,94.5
XFMR-005202,FDR-0015,500.0,84.7,218.7,268.1,203.4,voltage,203.4
XFMR-005203,FDR-0015,37.5,5.1,29.0,19.9,12.4,voltage,12.4
XFMR-005204,FDR-0015,100.0,5.7,67.0,52.4,57.3,thermal,52.4
XFMR-005205,FDR-0015,250.0,0,137.1,143.4,76.2,voltage,76.2
XFMR-005206,FDR-0015,250.0,12.3,152.1,165.3,117.4,voltage,117.4
XFMR-005207,FDR-0015,250.0,78.8,138.7,149.7,62.0,voltage,62.0
XFMR-005208,FDR-0015,100.0,0,68.6,73.9,50.6,voltage,50.6
XFMR-005209,FDR-0015,37.5,0,21.5,24.8,25.0,thermal,24.8
XFMR-005210,FDR-0015,100.0,0,75.2,70.2,39.9,voltage,39.9
XFMR-005211,FDR-0015,50.0,10.3,22.5,32.5,16.1,voltage,16.1
XFMR-005212,FDR-0015,25.0,7.5,11.4,12.6,4.1,voltage,4.1
XFMR-005213,FDR-0015,15.0,11.5,8.1,5.2,0.0,voltage,0.0
XFMR-005214,FDR-0015,25.0,7.0,14.2,11.5,7.6,voltage,7.6
XFMR-005215,FDR-0015,167.0,376.7,71.4,0.0,0.0,voltage,0.0
XFMR-005216,FDR-0015,25.0,0,14.9,18.4,13.6,voltage,13.6
XFMR-005217,FDR-0015,75.0,264.8,52.2,0.0,0.0,voltage,0.0
XFMR-005218,FDR-0015,500.0,26.8,174.7,399.8,156.9,voltage,156.9
XFMR-005219,FDR-0015,10.0,0,7.0,7.4,3.1,voltage,3.1
XFMR-005220,FDR-0015,333.0,18.5,251.7,214.9,118.5,voltage,118.5
XFMR-005221,FDR-0015,500.0,187.0,333.7,233.4,148.8,voltage,148.8
XFMR-005222,FDR-0015,37.5,10.9,20.4,18.0,9.3,voltage,9.3
XFMR-005223,FDR-0015,75.0,0,25.8,51.6,36.7,voltage,36.7
XFMR-005224,FDR-0015,50.0,322.9,39.5,0.0,0.0,voltage,0.0
XFMR-005225,FDR-0015,75.0,6.4,29.3,60.3,34.1,voltage,34.1
XFMR-005226,FDR-0015,25.0,4.4,19.2,12.2,5.4,voltage,5.4
XFMR-005227,FDR-0015,100.0,0,67.1,76.1,61.7,voltage,61.7
XFMR-005228,FDR-0015,167.0,0,111.7,97.0,66.6,voltage,66.6
XFMR-005229,FDR-0015,333.0,0,185.8,238.4,163.0,voltage,163.0
XFMR-005230,FDR-0015,75.0,6.6,52.0,41.2,39.9,voltage,39.9
XFMR-005231,FDR-0015,250.0,297.2,156.2,13.8,0.0,voltage,0.0
XFMR-005232,FDR-0015,167.0,0,53.5,150.5,53.0,voltage,53.0
XFMR-005233,FDR-0015,25.0,4.4,12.4,14.5,8.5,voltage,8.5
XFMR-005234,FDR-0015,500.0,8.1,193.7,385.6,200.6,voltage,200.6
XFMR-005235,FDR-0015,333.0,0,174.0,217.1,183.7,voltage,183.7
XFMR-005236,FDR-0015,50.0,13.3,24.7,27.6,19.0,voltage,19.0
XFMR-005237,FDR-0015,15.0,93.8,9.8,0.0,0.0,voltage,0.0
XFMR-005238,FDR-0015,167.0,0,92.4,112.5,81.3,voltage,81.3
XFMR-005239,FDR-0015,15.0,0,10.3,9.2,7.7,voltage,7.7
XFMR-005240,FDR-0015,50.0,0,15.7,34.2,19.6,voltage,19.6
XFMR-005241,FDR-0015,75.0,8.4,45.5,51.7,18.6,voltage,18.6
XFMR-005242,FDR-0015,100.0,69.0,43.0,44.2,0.0,voltage,0.0
XFMR-005243,FDR-0015,50.0,0,33.3,38.1,30.2,voltage,30.2
XFMR-005244,FDR-0015,37.5,16.7,16.3,21.9,2.1,voltage,2.1
XFMR-005245,FDR-0015,250.0,15.0,108.9,200.3,128.8,voltage,128.8
XFMR-005246,FDR-0015,15.0,85.9,8.2,0.0,0.0,voltage,0.0
XFMR-005247,FDR-0015,167.0,0,72.1,139.9,86.7,voltage,86.7
XFMR-005248,FDR-0015,37.5,0,12.6,26.8,12.0,voltage,12.0
XFMR-005249,FDR-0015,75.0,0,50.2,57.1,35.5,voltage,35.5
XFMR-005250,FDR-0015,100.0,17.2,54.6,71.1,36.2,voltage,36.2
XFMR-005251,FDR-0015,37.5,325.7,20.9,0.0,0.0,voltage,0.0
XFMR-005252,FDR-0015,10.0,8.8,3.3,3.6,0.0,voltage,0.0
XFMR-005253,FDR-0015,37.5,8.3,14.7,26.9,13.6,voltage,13.6
XFMR-005254,FDR-0015,50.0,0,34.7,29.7,25.9,voltage,25.9
XFMR-005255,FDR-0015,167.0,0,95.8,118.8,119.8,thermal,118.8
XFMR-005256,FDR-0015,250.0,6.0,88.6,213.3,108.5,voltage,108.5
XFMR-005257,FDR-0015,167.0,508.5,73.3,0.0,0.0,voltage,0.0
XFMR-005258,FDR-0015,10.0,0,6.9,7.4,3.9,voltage,3.9
XFMR-005259,FDR-0015,10.0,8.0,7.1,1.9,0.6,voltage,0.6
XFMR-005260,FDR-0015,100.0,23.1,53.1,63.7,28.1,voltage,28.1
XFMR-005261,FDR-0015,15.0,0,10.8,9.6,7.6,voltage,7.6
XFMR-005262,FDR-0015,333.0,0,158.1,189.1,157.1,voltage,157.1
XFMR-005263,FDR-0015,37.5,4.2,23.7,23.4,24.5,thermal,23.4
XFMR-005264,FDR-0015,250.0,59.5,141.4,163.8,75.1,voltage,75.1
XFMR-005265,FDR-0015,25.0,0,9.4,15.8,14.8,voltage,14.8
XFMR-005266,FDR-0015,25.0,664.4,16.7,0.0,0.0,voltage,0.0
XFMR-005267,FDR-0015,500.0,16.9,278.7,371.4,176.3,voltage,176.3
XFMR-005268,FDR-0015,10.0,0,5.7,7.1,4.3,voltage,4.3
XFMR-005269,FDR-0015,75.0,13.4,57.9,45.4,17.1,voltage,17.1
XFMR-005270,FDR-0015,100.0,0,79.5,50.5,71.6,thermal,50.5
XFMR-005271,FDR-0015,10.0,11.7,7.8,0.4,0.0,voltage,0.0
XFMR-005272,FDR-0015,50.0,4.1,16.2,31.2,17.3,voltage,17.3
XFMR-005273,FDR-0015,167.0,457.7,67.6,0.0,0.0,voltage,0.0
XFMR-005274,FDR-0015,10.0,0,5.1,6.4,4.8,voltage,4.8
XFMR-005275,FDR-0015,25.0,40.6,13.7,0.0,0.0,voltage,0.0
XFMR-005276,FDR-0015,50.0,0,33.5,36.3,22.8,voltage,22.8
XFMR-005277,FDR-0015,333.0,0,182.3,211.4,154.5,voltage,154.5
XFMR-005278,FDR-0015,37.5,155.4,25.6,0.0,0.0,voltage,0.0
XFMR-005279,FDR-0015,167.0,6.8,59.5,136.3,75.5,voltage,75.5
XFMR-005280,FDR-0015,500.0,0,307.1,324.2,172.0,voltage,172.0
XFMR-005281,FDR-0015,75.0,394.1,57.2,0.0,0.0,voltage,0.0
XFMR-005282,FDR-0015,37.5,19.7,23.6,16.3,4.3,voltage,4.3
XFMR-005283,FDR-0015,10.0,0,3.5,7.0,5.4,voltage,5.4
XFMR-005284,FDR-0015,50.0,16.8,25.5,31.4,11.1,voltage,11.1
XFMR-005285,FDR-0015,75.0,25.5,39.2,34.2,22.3,voltage,22.3
XFMR-005286,FDR-0015,333.0,0,151.8,203.1,137.7,voltage,137.7
XFMR-005287,FDR-0015,10.0,4.8,4.3,4.9,1.6,voltage,1.6
XFMR-005288,FDR-0015,50.0,16.6,37.7,26.8,9.9,voltage,9.9
XFMR-005289,FDR-0015,167.0,0,108.4,123.0,62.4,voltage,62.4
XFMR-005290,FDR-0015,333.0,4.2,194.0,213.4,203.1,voltage,203.1
XFMR-005291,FDR-0015,25.0,14.8,19.7,6.9,1.2,voltage,1.2
XFMR-005292,FDR-0015,500.0,165.5,294.1,203.7,110.5,voltage,110.5
XFMR-005293,FDR-0015,75.0,0,27.3,50.0,40.5,voltage,40.5
XFMR-005294,FDR-0015,37.5,27.1,22.0,13.5,2.5,voltage,2.5
XFMR-005295,FDR-0015,25.0,0,9.1,18.2,7.8,voltage,7.8
XFMR-005296,FDR-0015,50.0,9.9,19.5,33.1,22.6,voltage,22.6
XFMR-005297,FDR-0015,500.0,0,300.9,359.5,235.4,voltage,235.4
XFMR-005298,FDR-0015,37.5,7.9,22.1,20.5,14.8,voltage,14.8
XFMR-005299,FDR-0015,75.0,5.4,42.4,52.1,28.2,voltage,28.2
XFMR-005300,FDR-0015,25.0,0,19.6,17.2,11.8,voltage,11.8
XFMR-005301,FDR-0015,50.0,6.7,24.5,25.6,13.6,voltage,13.6
XFMR-005302,FDR-0015,167.0,321.5,79.2,0.0,0.0,voltage,0.0
XFMR-005303,FDR-0015,333.0,0,185.9,264.2,151.4,voltage,151.4
XFMR-005304,FDR-0015,50.0,0,22.7,38.4,24.8,voltage,24.8
XFMR-005305,FDR-0015,500.0,0,210.5,348.6,269.4,voltage,269.4
XFMR-005306,FDR-0015,75.0,80.2,47.8,9.2,0.0,voltage,0.0
XFMR-005307,FDR-0015,15.0,5.3,9.3,7.7,4.5,voltage,4.5
XFMR-005308,FDR-0015,15.0,0,11.5,9.9,8.2,voltage,8.2
XFMR-005309,FDR-0015,25.0,15.0,18.9,6.6,0.4,voltage,0.4
XFMR-005310,FDR-0015,500.0,11.2,161.7,319.4,219.6,voltage,219.6
XFMR-005311,FDR-0015,100.0,171.5,38.3,0.0,0.0,voltage,0.0
XFMR-005312,FDR-0015,100.0,10.2,53.3,51.3,35.7,voltage,35.7
XFMR-005313,FDR-0015,167.0,0,86.4,131.0,74.8,voltage,74.8
XFMR-005314,FDR-0015,333.0,3.2,147.2,216.6,120.3,voltage,120.3
XFMR-005315,FDR-0015,37.5,3.4,16.5,24.4,17.5,voltage,17.5
XFMR-005316,FDR-0015,25.0,0,12.2,20.6,13.6,voltage,13.6
XFMR-005317,FDR-0015,75.0,74.2,36.7,14.9,0.0,voltage,0.0
XFMR-005318,FDR-0015,50.0,0,32.2,35.7,19.7,voltage,19.7
XFMR-005319,FDR-0015,250.0,18.8,193.4,130.4,129.7,voltage,129.7
XFMR-005320,FDR-0015,75.0,3.3,23.8,64.1,35.3,voltage,35.3
XFMR-005321,FDR-0015,37.5,0,25.2,27.2,16.5,voltage,16.5
XFMR-005322,FDR-0015,25.0,11.0,10.2,11.4,7.1,voltage,7.1
XFMR-005323,FDR-0015,50.0,149.6,29.5,0.0,0.0,voltage,0.0
XFMR-005324,FDR-0015,100.0,0,43.2,78.7,53.0,voltage,53.0
XFMR-005325,FDR-0015,333.0,8.8,134.5,227.3,158.8,voltage,158.8
XFMR-005326,FDR-0015,10.0,10.2,3.4,2.3,0.0,voltage,0.0
XFMR-005327,FDR-0015,100.0,21.6,47.3,61.9,40.5,voltage,40.5
XFMR-005328,FDR-0015,100.0,5.2,44.6,79.4,54.6,voltage,54.6
XFMR-005329,FDR-0015,10.0,89.7,4.0,0.0,0.0,voltage,0.0
XFMR-005330,FDR-0015,100.0,17.4,68.7,60.4,29.1,voltage,29.1
XFMR-005331,FDR-0016,37.5,27.3,18.0,11.6,0.3,voltage,0.3
XFMR-005332,FDR-0016,250.0,287.2,178.2,12.4,0.0,voltage,0.0
XFMR-005333,FDR-0016,500.0,11.7,237.3,361.6,230.1,voltage,230.1
XFMR-005334,FDR-0016,250.0,0,173.2,138.1,91.8,voltage,91.8
XFMR-005335,FDR-0016,50.0,14.5,27.1,28.9,11.8,voltage,11.8
XFMR-005336,FDR-0016,500.0,21.0,222.3,352.1,336.8,voltage,336.8
XFMR-005337,FDR-0016,333.0,7.4,214.9,209.2,121.6,voltage,121.6
XFMR-005338,FDR-0016,25.0,8.6,11.7,13.0,3.6,voltage,3.6
XFMR-005339,FDR-0016,100.0,0,37.0,71.4,40.0,voltage,40.0
XFMR-005340,FDR-0016,15.0,8.2,10.4,5.3,3.4,voltage,3.4
XFMR-005341,FDR-0016,75.0,3.5,31.6,46.2,44.8,voltage,44.8
XFMR-005342,FDR-0016,250.0,83.5,86.9,120.5,49.7,voltage,49.7
XFMR-005343,FDR-0016,25.0,11.7,13.7,12.4,5.5,voltage,5.5
XFMR-005344,FDR-0016,50.0,6.7,22.8,38.1,18.6,voltage,18.6
XFMR-005345,FDR-0016,37.5,0,27.9,27.4,17.8,voltage,17.8
XFMR-005346,FDR-0016,250.0,476.7,88.0,0.0,0.0,voltage,0.0
XFMR-005347,FDR-0016,500.0,0,314.7,314.3,209.6,voltage,209.6
XFMR-005348,FDR-0016,15.0,9.5,10.1,5.3,0.2,voltage,0.2
XFMR-005349,FDR-0016,167.0,10.0,111.9,119.2,71.6,voltage,71.6
XFMR-005350,FDR-0016,167.0,0,60.0,140.4,75.4,voltage,75.4
XFMR-005351,FDR-0016,25.0,391.6,7.9,0.0,0.0,voltage,0.0
XFMR-005352,FDR-0016,50.0,14.1,36.0,28.2,9.4,voltage,9.4
XFMR-005353,FDR-0016,50.0,10.3,34.0,32.2,19.1,voltage,19.1
XFMR-005354,FDR-0016,25.0,0,14.8,18.8,7.8,voltage,7.8
XFMR-005355,FDR-0016,100.0,427.7,62.1,0.0,0.0,voltage,0.0
XFMR-005356,FDR-0016,25.0,0,7.9,17.5,11.2,voltage,11.2
XFMR-005357,FDR-0016,75.0,0,44.2,50.3,27.1,voltage,27.1
XFMR-005358,FDR-0016,500.0,0,212.8,347.8,343.9,voltage,343.9
XFMR-005359,FDR-0016,25.0,9.6,16.2,11.5,5.1,voltage,5.1
XFMR-005360,FDR-0016,333.0,10.4,198.2,199.7,158.1,voltage,158.1
XFMR-005361,FDR-0016,250.0,0,95.0,199.8,140.9,voltage,140.9
XFMR-005362,FDR-0016,333.0,12.0,197.1,207.4,132.5,voltage,132.5
XFMR-005363,FDR-0016,15.0,11.9,8.7,3.5,0.0,voltage,0.0
XFMR-005364,FDR-0016,15.0,11.8,11.5,3.6,0.0,voltage,0.0
XFMR-005365,FDR-0016,100.0,0,77.1,59.0,49.2,voltage,49.2
XFMR-005366,FDR-0016,333.0,11.7,258.6,184.5,151.5,voltage,151.5
XFMR-005367,FDR-0016,25.0,0,18.4,14.2,10.7,voltage,10.7
XFMR-005368,FDR-0016,15.0,4.5,11.5,6.7,3.5,voltage,3.5
XFMR-005369,FDR-0016,100.0,5.6,57.6,57.4,33.8,voltage,33.8
XFMR-005370,FDR-0016,50.0,11.4,28.0,33.7,16.7,voltage,16.7
XFMR-005371,FDR-0016,500.0,0,216.7,329.2,194.7,voltage,194.7
XFMR-005372,FDR-0016,25.0,17.6,8.3,9.5,2.1,voltage,2.1
XFMR-005373,FDR-0016,333.0,0,135.6,229.7,180.7,voltage,180.7
XFMR-005374,FDR-0016,10.0,4.7,5.7,5.2,2.3,voltage,2.3
XFMR-005375,FDR-0016,15.0,12.0,11.9,3.4,0.6,voltage,0.6
XFMR-005376,FDR-0016,100.0,0,76.2,62.2,45.6,voltage,45.6
XFMR-005377,FDR-0016,50.0,0,18.2,30.1,17.4,voltage,17.4
XFMR-005378,FDR-0016,37.5,85.4,11.8,0.0,0.0,voltage,0.0
XFMR-005379,FDR-0016,50.0,0,28.9,37.7,26.3,voltage,26.3
XFMR-005380,FDR-0016,250.0,13.1,88.3,213.6,139.0,voltage,139.0
XFMR-005381,FDR-0016,50.0,6.4,27.6,36.6,24.4,voltage,24.4
XFMR-005382,FDR-0016,167.0,17.4,59.0,137.8,70.3,voltage,70.3
XFMR-005383,FDR-0016,75.0,0,50.2,49.3,35.9,voltage,35.9
XFMR-005384,FDR-0016,37.5,6.7,13.1,21.0,15.3,voltage,15.3
XFMR-005385,FDR-0016,25.0,0,7.7,21.7,12.8,voltage,12.8
XFMR-005386,FDR-0016,37.5,7.7,12.7,24.6,14.2,voltage,14.2
XFMR-005387,FDR-0016,25.0,73.0,9.3,0.0,0.0,voltage,0.0
XFMR-005388,FDR-0016,50.0,24.8,26.0,23.8,9.7,voltage,9.7
XFMR-005389,FDR-0016,333.0,19.5,244.2,161.7,182.9,thermal,161.7
XFMR-005390,FDR-0016,25.0,4.3,18.3,13.3,7.4,voltage,7.4
XFMR-005391,FDR-0016,333.0,4.6,248.3,180.7,156.5,voltage,156.5
XFMR-005392,FDR-0016,37.5,1974.0,12.0,0.0,0.0,voltage,0.0
XFMR-005393,FDR-0016,10.0,0,3.1,7.4,4.8,voltage,4.8
XFMR-005394,FDR-0016,50.0,0,20.4,33.6,26.7,voltage,26.7
XFMR-005395,FDR-0016,167.0,0,89.4,128.4,80.2,voltage,80.2
